Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Bus_Class,Excel_Row_Ref
30,1,11101,4516,रत्नागिरी,Ratnagiri,सावंतवाडी,Sawantwadi,HATKHAMBA PALI LANJA RAJAPUR KANKAVALI KUDAL,184.8,07:00,13:00,NOBL,,,,,,,,MLD,152
,1,18619,4515,सावंतवाडी,Sawantwadi,रत्नागिरी,Ratnagiri,KUDAL KANKAVALI TALERE RAJAPUR LANJA PALI HATKHAMBA,184.8,14:30,19:45,NOBL,,,,,,,,MLD,154
31,1,18786,64041,फौजदारवाडी,Foujdarwadi,सावंतवाडी,Sawantwadi,KALAMBIST SANGELI,25.1,05:45,06:50,ST,,,,,,,,ORD,156
31,2,11130,64042,सावंतवाडी,Sawantwadi,,Footbridge,MANGAON WADOS upto Malai,33.6,07:00,08:15,OBL,,,,,,,,ORD,157
31,3,17792,64043,,Footbridge,सावंतवाडी,Sawantwadi,From Malai WADOS  MANGAON,33.6,08:20,09:40,OBL,,,,,,,,ORD,158
,1,11150,64306,सावंतवाडी,Sawantwadi,कुडासा,Kudasa,BANDA KUMBRAL BHARPAL,40.2,12:15,13:35,ST,,,,,,,,ORD,160
,2,18445,64307,कुडासा,Kudasa,सावंतवाडी,Sawantwadi,KUMBRAL BANDA,40.2,13:40,15:25,ST,,,,,,,,ORD,161
,3,11200,64038,सावंतवाडी,Sawantwadi,वेर्ले,Verle Temple,SANGELI   KALAMBIST,24,16:10,17:10,ST,,,,,,,,ORD,162
,4,18787,64039,वेर्ले,Verle Temple,सावंतवाडी,Sawantwadi,KALAMBIST SANGELI,24,17:20,18:20,ST,,,,,,,,ORD,163
,5,11201,64040,सावंतवाडी,Sawantwadi,फौजदारवाडी,Foujdarwadi,SANGELI   KALAMBIST,25.1,18:30,19:35,ST,,,,,,,,ORD,164
32,1,17378,64065,किरणपाणी,Kiranpani,सावंतवाडी,Sawantwadi,ARONDA MALEWAD,28.4,07:45,08:45,ST,,,,,,,,ORD,166
32,2,11369,64046,सावंतवाडी,Sawantwadi,बाबरवाडी,Babarwadi,WANOSHI BANDA KALANE WANOSHI BHEDSHI TILARI,57.1,09:15,11:15,OBL,,,,,,,,ORD,167
32,3,17589,64047,बाबरवाडी,Babarwadi,सावंतवाडी,Sawantwadi,TILARI BHEDSHI DODAMARG KALANE BANDA,59.1,12:00,14:15,OBL,,,,,,,,ORD,168
,3,11116,64064,सावंतवाडी,Sawantwadi,किरणपाणी,Kiranpani,MALEWAD SHIRODA,35.2,20:00,21:20,ST,,,,,,,,ORD,171
33,1,17707,64301,पाळये,Palye,सावंतवाडी,Sawantwadi,TILARI BHEDSHI DODAMARG KALANE BANDA,57.1,06:30,08:30,ST,,,,,,,,ORD,173
33,2,11201,64302,सावंतवाडी,Sawantwadi,फौजदारवाडी,Foujdarwadi,SANGELI   KALAMBIST,25.1,09:10,10:00,ST,,,,,,,,ORD,174
33,3,18786,64303,फौजदारवाडी,Foujdarwadi,सावंतवाडी,Sawantwadi,KALAMBIST SANGELI,25.1,10:10,11:10,ST,,,,,,,,ORD,175
33,4,11183,64304,सावंतवाडी,Sawantwadi,सोनुर्ली,Sonurli Sateri Mandir,,14.9,11:15,11:50,ST,,,,,,,,ORD,176
33,5,18640,64305,सोनुर्ली,Sonurli Sateri Mandir,सावंतवाडी,Sawantwadi,,14.9,11:50,12:40,ST,,,,,,,,ORD,177
